symbol,market_cap,RNW5,RNW4,RNW3,RNW2,RNW1,blank1,SR5,SR4,SR3,SR2,SR1,blank2,NP5,NP4,NP3,NP2,NP1,isStandalone,isin,exchange,date,filter
METROGLOBL,161.47,4.95,6.05,9.70,10.47,12.02,  ,339.15,377.49,272.12,196.79,145.42,  ,15.72,23.68,23.09,21.59,21.92,FALSE,500159,bse,2018-01-10,52_week_high
MOHIT PAPER,23.48,3.83,3.39,4.26,4.41,2.58,  ,91.08,96.49,90.37,88.17,67.15,  ,0.99,0.88,1.07,1.06,0.60,TRUE,530169,bse,2018-01-10,52_week_high
MONNETPRO,11.81,2.39,2.20,NA,NA,NA,  ,14.40,7.13,NA,NA,NA,  ,1.41,1.26,NA,NA,NA,FALSE,532723,bse,2018-01-10,52_week_high
MONTECARLO,1359.88,8.66,13.21,NA,NA,NA,  ,584.11,619.99,581.08,502.33,403.28,  ,42.32,58.94,59.77,55.38,49.48,TRUE,INE950M01013,nse,2018-01-10,52_week_high
MONTECARLO,1359.88,8.66,13.21,NA,NA,NA,  ,584.11,619.99,581.08,502.33,403.28,  ,42.32,58.94,59.77,55.38,49.48,TRUE,538836,bse,2018-01-10,52_week_high
MORARJEE,227.44,12.19,12.57,17.53,26.91,21.59,  ,368.31,332.50,365.23,391.94,364.07,  ,16.18,16.49,20.84,28.20,23.91,FALSE,INE161G01027,nse,2018-01-10,52_week_high
MORARJETEX,227.44,12.19,12.57,17.53,26.91,21.59,  ,368.31,332.50,365.23,391.94,364.07,  ,16.18,16.49,20.84,28.20,23.91,FALSE,532621,bse,2018-01-10,52_week_high
MOSERBAER,153.24,18.62,21.32,21.32,26.91,26.91,  ,674.11,"1,142.09","1,626.08","2,556.61","5,221.66",  ,"-1,061.44",-939.53,-916.23,-768.66,-848.75,FALSE,INE739A01015,nse,2018-01-10,vol200p_quarter
MOSER BEAR,153.24,18.62,21.32,21.32,26.91,26.91,  ,674.11,"1,142.09","1,626.08","2,556.61","5,221.66",  ,"-1,061.44",-939.53,-916.23,-768.66,-848.75,FALSE,517140,bse,2018-01-10,vol200p_quarter
MYS PETRO,104.87,6.24,6.33,24.65,14.14,9.44,  ,30.30,23.29,32.87,39.93,132.73,  ,2.03,1.92,7.22,3.37,2.04,TRUE,506734,bse,2018-01-10,52_week_high
NALIN LEASE,9.7,9.26,7.85,9.05,8.67,9.35,  ,2.36,2.07,2.95,3.11,3.51,  ,0.93,0.71,1.15,0.95,0.92,TRUE,531212,bse,2018-01-10,52_week_high
NATHBIOGEN,807.4,20.43,20.12,NA,NA,NA,  ,137.70,123.92,NA,NA,NA,  ,11.75,9.20,NA,NA,NA,FALSE,INE448G01010,nse,2018-01-10,52_week_high
NATH BIOGEN,807.4,20.43,20.12,NA,NA,NA,  ,137.70,123.92,NA,NA,NA,  ,11.75,9.20,NA,NA,NA,FALSE,537291,bse,2018-01-10,52_week_high
NATI. OXYGEN,21.3,109.86,"-1,256.14",-176.46,-29.95,2.58,  ,36.09,33.27,28.13,25.80,24.61,  ,-5.04,-5.68,-10.83,-5.26,0.59,TRUE,507813,bse,2018-01-10,52_week_high
NAVIGANT,4.86,3.74,2.40,NA,NA,NA,  ,1.55,0.62,NA,NA,NA,  ,0.20,0.12,NA,NA,NA,TRUE,539521,bse,2018-01-10,vol200p_month
NELCO,325.16,28.71,-63.82,11.41,-104.51,3.16,  ,143.67,136.79,134.05,134.57,160.52,  ,6.28,-8.37,1.94,-16.63,1.03,FALSE,INE045B01015,nse,2018-01-10,52_week_high
NELCO LTD.,325.16,28.71,-63.82,11.41,-104.51,3.16,  ,143.67,136.79,134.05,134.57,160.52,  ,6.28,-8.37,1.94,-16.63,1.03,FALSE,504112,bse,2018-01-10,52_week_high
NIPPOBATRY,372.53,10.80,8.07,NA,NA,NA,  ,377.67,361.91,NA,NA,NA,  ,20.23,14.17,NA,NA,NA,FALSE,504058,bse,2018-01-10,vol200p_quarter
OBEROI REAL,17883.45,6.61,8.02,6.84,7.07,12.12,  ,"1,113.62","1,399.71",910.93,784.18,"1,041.75",  ,378.59,425.91,317.12,311.06,504.79,FALSE,533273,bse,2018-01-10,52_week_high
OBEROIRLTY,17883.45,6.61,8.02,6.84,7.07,12.12,  ,"1,113.62","1,399.71",910.93,784.18,"1,041.75",  ,378.59,425.91,317.12,311.06,504.79,FALSE,INE093I01010,nse,2018-01-10,52_week_high
OIL,29030.84,5.40,8.88,12.13,14.36,18.66,  ,"9,243.90","9,321.71","9,476.68","9,229.75","9,545.78",  ,"1,596.56","2,079.56","2,608.40","2,941.98","3,592.05",FALSE,INE274J01014,nse,2018-01-10,52_week_high
OIL INDIA,29030.84,5.40,8.88,12.13,14.36,18.66,  ,"9,243.90","9,321.71","9,476.68","9,229.75","9,545.78",  ,"1,596.56","2,079.56","2,608.40","2,941.98","3,592.05",FALSE,533106,bse,2018-01-10,52_week_high
ORIENTPPR,3645.35,20.54,31.57,34.25,49.89,15.42,  ,"1,627.93","1,713.17","1,600.55","1,191.31",955.18,  ,157.58,202.41,190.75,119.18,22.58,FALSE,INE592A01026,nse,2018-01-10,vol200p_month
ORIENTPPR,3645.35,20.54,31.57,34.25,49.89,15.42,  ,"1,627.93","1,713.17","1,600.55","1,191.31",955.18,  ,157.58,202.41,190.75,119.18,22.58,FALSE,INE592A01026,nse,2018-01-10,52_week_high
PDSMFL,819.95,3.08,5.80,4.87,4.92,NA,  ,"4,616.01","4,227.05","3,840.65","3,656.04",NA,  ,14.30,27.91,21.79,18.37,NA,FALSE,INE111Q01013,nse,2018-01-10,52_week_high
PENPEBS,397.76,10.31,14.21,20.50,0.85,NA,  ,502.58,446.92,NA,NA,NA,  ,24.40,30.16,NA,NA,NA,TRUE,INE455O01019,nse,2018-01-10,vol200p_quarter
PIONEER EMB,110.94,-25.57,26.99,14.57,-16.23,-411.06,  ,236.04,251.11,265.27,268.15,241.27,  ,-17.39,17.27,6.10,-7.67,-33.84,FALSE,514300,bse,2018-01-10,vol200p_month
POCHIRAJU,13.18,-62.67,0.85,7.77,4.23,12.62,  ,--,9.67,139.12,119.74,108.86,  ,-14.58,-51.77,1.15,10.37,5.21,TRUE,INE332G01032,nse,2018-01-10,vol200p_month
PRADIPOVERS,16.71,22.88,42.12,107.12,-630.27,-65.67,  ,159.84,237.68,239.84,598.57,942.93,  ,-197.93,-280.98,-413.50,-169.66,-112.64,TRUE,533178,bse,2018-01-10,52_week_high
PRIME INDS.,0.9,0.09,0.26,0.96,0.24,"-1,780.90",  ,0.44,0.60,0.30,0.16,0.48,  ,0.01,0.02,0.07,0.01,-6.71,TRUE,519299,bse,2018-01-10,52_week_high
PSL LTD,82.58,84.02,236.81,"-1,178.25",-167.89,4.62,  ,109.17,247.72,273.41,"2,659.44","3,221.88",  ,-752.60,"-1,422.91",-579.04,44.48,52.40,FALSE,526801,bse,2018-01-10,vol200p_month
RAJA BAHADUR,0,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,TRUE,503127,bse,2018-01-10,52_week_high
RAJ.TUBE MFG,8.1,-15.53,2.43,-24.58,1.97,2.23,  ,73.85,80.84,92.23,103.71,106.19,  ,-1.27,0.23,-2.26,0.23,0.25,TRUE,530253,bse,2018-01-10,52_week_high
RCL RETAIL,19.39,-0.49,0.05,-3.76,1.32,1.33,  ,14.26,1.77,1.06,9.81,4.96,  ,0.52,-0.06,0.01,-0.46,0.17,TRUE,534708,bse,2018-01-10,52_week_high
RMC,35.75,11.04,NA,NA,NA,NA,  ,50.72,55.44,45.23,40.44,37.87,  ,1.53,0.79,0.24,0.20,0.20,TRUE,540358,bse,2018-01-10,52_week_high
RMGALLOY,97.7,19.65,25.11,18.39,22.83,74.02,  ,234.41,267.68,332.71,416.24,352.97,  ,-58.52,-60.07,-36.62,-34.14,-93.30,TRUE,500365,bse,2018-01-10,52_week_high
SADBHIN,5420.75,-492.89,-22.63,-43.96,-4.64,NA,  ,"1,348.01",742.20,500.30,374.40,NA,  ,-353.14,-260.59,-343.30,-39.63,NA,FALSE,INE764L01010,nse,2018-01-10,52_week_high
SADBHIN,5420.75,-492.89,-22.63,-43.96,-4.64,NA,  ,"1,348.01",742.20,500.30,374.40,NA,  ,-353.14,-260.59,-343.30,-39.63,NA,FALSE,539346,bse,2018-01-10,52_week_high
SAKTHI FIN.,207.75,9.24,8.27,5.57,7.19,1.83,  ,78.30,55.67,40.09,NA,NA,  ,5.86,4.77,2.94,NA,NA,FALSE,511066,bse,2018-01-10,vol200p_month
SAMRAT PHARM,30.97,10.21,2.19,2.34,1.84,3.10,  ,71.07,61.86,47.39,64.84,70.52,  ,1.57,0.30,0.32,0.24,0.40,TRUE,530125,bse,2018-01-10,52_week_high
SCAPDVR,NA,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,NA,570005,bse,2018-01-10,vol200p_quarter
SDBL,648.29,10.27,NA,NA,NA,NA,  ,244.72,NA,NA,NA,NA,  ,13.83,NA,NA,NA,NA,FALSE,INE480C01012,nse,2018-01-10,52_week_high
SEL MANUF,118.62,-54.62,-14.63,-24.48,9.40,7.56,  ,"2,081.86","2,465.16","2,863.42","3,633.18","3,776.81",  ,-572.83,-369.98,-149.55,-294.39,137.92,FALSE,532886,bse,2018-01-10,vol200p_month
SGRL,40.15,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,TRUE,540737,bse,2018-01-10,52_week_high
SHA ENG PLA,877.64,15.03,17.26,16.62,15.47,10.06,  ,246.37,222.39,178.80,150.45,122.33,  ,15.88,15.49,13.01,6.59,3.62,TRUE,501423,bse,2018-01-10,52_week_high
SH.PACETRON.,4.54,-6.54,-1.61,-1.12,4.20,3.25,  ,6.94,7.44,6.60,7.35,6.50,  ,-0.32,-0.09,-0.06,0.23,0.17,FALSE,527005,bse,2018-01-10,52_week_high
SHREYAS,1334.69,3.88,20.20,31.07,-4.00,9.51,  ,717.34,590.29,545.61,486.99,388.44,  ,10.28,49.19,61.38,-4.60,15.40,FALSE,INE757B01015,nse,2018-01-10,52_week_high
SHREY SH LOG,1334.69,3.88,20.20,31.07,-4.00,9.51,  ,717.34,590.29,545.61,486.99,388.44,  ,10.28,49.19,61.38,-4.60,15.40,FALSE,520151,bse,2018-01-10,52_week_high
SIMPLX INFRA,2997.53,8.92,4.30,3.86,4.07,4.09,  ,"5,873.78","6,177.01","5,607.17","5,885.15","5,971.80",  ,68.41,57.32,58.46,53.25,83.64,FALSE,523838,bse,2018-01-10,52_week_high
SMARTLINK,295.74,-3.02,-0.49,-0.48,87.50,9.71,  ,103.73,149.85,118.27,69.35,195.96,  ,-9.71,-2.00,-1.97,366.51,15.91,FALSE,532419,bse,2018-01-10,vol200p_month
SMARTLINK,295.74,-3.02,-0.49,-0.48,87.50,9.71,  ,103.73,149.85,118.27,69.35,195.96,  ,-9.71,-2.00,-1.97,366.51,15.91,FALSE,532419,bse,2018-01-10,52_week_high
SOM DISTILL.,648.29,10.27,NA,NA,NA,NA,  ,244.72,NA,NA,NA,NA,  ,13.83,NA,NA,NA,NA,FALSE,507514,bse,2018-01-10,52_week_high
SOMICONVEY,97.12,1.62,4.45,8.46,7.78,9.23,  ,70.64,57.48,74.70,65.36,79.07,  ,0.85,2.29,4.28,3.60,3.94,TRUE,INE323J01019,nse,2018-01-10,52_week_high
SOMI CONVEY,97.12,1.62,4.45,8.46,7.78,9.23,  ,70.64,57.48,74.70,65.36,79.07,  ,0.85,2.29,4.28,3.60,3.94,TRUE,533001,bse,2018-01-10,52_week_high
SRIPIPES,2061.73,17.21,37.08,28.29,17.16,-6.75,  ,"1,177.87","1,145.61","1,083.55",987.22,857.44,  ,140.23,158.80,82.98,38.70,-13.10,TRUE,INE943C01027,nse,2018-01-10,52_week_high
SRIPIPES,2061.73,17.21,37.08,28.29,17.16,-6.75,  ,"1,177.87","1,145.61","1,083.55",987.22,857.44,  ,140.23,158.80,82.98,38.70,-13.10,TRUE,513605,bse,2018-01-10,52_week_high
SSPDL LTD,129.16,18.67,15.82,-22.89,-14.20,-26.84,  ,112.50,78.45,153.19,35.95,63.48,  ,13.63,9.39,-11.44,-7.17,-16.08,FALSE,530821,bse,2018-01-10,vol200p_month
SSWL,1843.57,13.12,13.32,9.88,6.67,7.31,  ,"1,331.66","1,181.89","1,152.71","1,063.68",969.93,  ,71.04,61.18,39.40,24.33,25.05,TRUE,INE802C01017,nse,2018-01-10,52_week_high
STAMPEDE CAP,445.71,20.14,46.98,20.08,-0.61,35.39,  ,385.47,195.14,74.17,23.97,37.66,  ,33.20,66.71,14.53,-0.15,8.10,FALSE,531723,bse,2018-01-10,vol200p_month
STER TECH,14447.33,22.88,21.61,-0.24,-3.19,2.17,  ,"2,448.85","2,127.25","3,027.09","2,500.98","3,024.09",  ,217.71,151.06,-2.64,-35.51,25.19,FALSE,532374,bse,2018-01-10,52_week_high
STRTECH,14447.33,22.88,21.61,-0.24,-3.19,2.17,  ,"2,448.85","2,127.25","3,027.09","2,500.98","3,024.09",  ,217.71,151.06,-2.64,-35.51,25.19,FALSE,INE089C01029,nse,2018-01-10,52_week_high
ST.STR.WHEEL,1843.57,13.12,13.32,9.88,6.67,7.31,  ,"1,331.66","1,181.89","1,152.71","1,063.68",969.93,  ,71.04,61.18,39.40,24.33,25.05,TRUE,513262,bse,2018-01-10,52_week_high
SUDITI IND.,176.52,7.20,4.88,NA,NA,NA,  ,124.06,84.89,NA,NA,NA,  ,2.10,1.30,NA,NA,NA,FALSE,521113,bse,2018-01-10,vol200p_quarter
SUNIL HEALTH,91.73,16.42,16.82,15.38,14.39,7.39,  ,102.09,80.91,72.10,60.89,45.66,  ,6.10,5.23,3.98,3.28,1.44,TRUE,537253,bse,2018-01-10,vol200p_month
SUPER SAL IN,248.32,11.61,14.33,14.98,18.55,14.03,  ,251.51,221.24,212.66,211.97,183.10,  ,15.95,17.39,15.81,16.89,10.53,TRUE,512527,bse,2018-01-10,52_week_high
SUPREMEX,82,0.09,0.04,--,--,--,  ,0.14,0.09,0.57,2.19,2.98,  ,0.00,0.00,0.00,0.01,0.00,TRUE,534733,bse,2018-01-10,vol200p_month
SUPREMEX,82,0.09,0.04,--,--,--,  ,0.14,0.09,0.57,2.19,2.98,  ,0.00,0.00,0.00,0.01,0.00,TRUE,534733,bse,2018-01-10,vol200p_quarter
SUPREMEX,82,0.09,0.04,--,--,--,  ,0.14,0.09,0.57,2.19,2.98,  ,0.00,0.00,0.00,0.01,0.00,TRUE,534733,bse,2018-01-10,52_week_high
SUPREM IND,17204.52,25.38,16.82,26.60,27.30,33.05,  ,"4,462.26","4,219.48","3,905.16","3,359.03","2,927.39",  ,430.40,322.36,283.44,290.10,241.68,FALSE,509930,bse,2018-01-10,52_week_high
SURAJ PRODUC,25.37,3.29,1.45,8.72,4.17,4.92,  ,59.78,55.63,92.83,87.66,74.50,  ,1.00,0.43,2.53,1.15,0.79,TRUE,518075,bse,2018-01-10,52_week_high
SUTLEJ TEXT,1684.16,19.35,21.20,20.68,28.40,22.21,  ,"2,249.62","2,226.68","1,823.16","1,848.41","1,665.14",  ,157.94,143.36,115.46,131.38,76.97,TRUE,532782,bse,2018-01-10,vol200p_month
SYMPHONY,13997,36.07,37.14,37.85,41.68,30.04,  ,768.03,578.49,532.42,377.63,313.39,  ,165.60,115.91,105.72,60.11,53.10,FALSE,517385,bse,2018-01-10,52_week_high
TATAINVEST,5116.15,7.95,8.40,8.32,8.66,8.45,  ,269.67,247.26,229.06,217.97,200.62,  ,200.40,194.36,185.86,186.29,173.85,FALSE,INE672A01018,nse,2018-01-10,52_week_high
TATA INVEST.,5116.15,7.95,8.40,8.32,8.66,8.45,  ,269.67,247.26,229.06,217.97,200.62,  ,200.40,194.36,185.86,186.29,173.85,FALSE,501301,bse,2018-01-10,52_week_high
TATAMETALI,2388.07,126.55,-868.55,-7.91,67.40,269.36,  ,"1,282.62","1,411.64","1,409.76",970.09,"1,195.06",  ,122.79,109.13,9.47,-87.10,-113.47,FALSE,INE056C01010,nse,2018-01-10,52_week_high
TATA METALIK,2388.07,126.55,-868.55,-7.91,67.40,269.36,  ,"1,282.62","1,411.64","1,409.76",970.09,"1,195.06",  ,122.79,109.13,9.47,-87.10,-113.47,FALSE,513434,bse,2018-01-10,52_week_high
TATASPONGE,1845.38,6.79,3.82,11.56,14.00,13.35,  ,557.31,571.79,766.23,762.72,776.95,  ,58.77,30.88,91.94,101.19,85.36,FALSE,INE674A01014,nse,2018-01-10,52_week_high
TATA SPONGE,1845.38,6.79,3.82,11.56,14.00,13.35,  ,557.31,571.79,766.23,762.72,776.95,  ,58.77,30.88,91.94,101.19,85.36,FALSE,513010,bse,2018-01-10,52_week_high
TATA YODOGAW,93.02,19.62,46.14,36.93,65.25,85.51,  ,42.21,122.03,134.63,144.07,167.71,  ,-82.95,-156.88,-67.62,-75.04,-33.74,TRUE,504961,bse,2018-01-10,vol200p_month
TATA YODOGAW,93.02,19.62,46.14,36.93,65.25,85.51,  ,42.21,122.03,134.63,144.07,167.71,  ,-82.95,-156.88,-67.62,-75.04,-33.74,TRUE,504961,bse,2018-01-10,52_week_high
TCS,537359.67,30.49,37.16,39.20,38.89,36.05,  ,"117,966.00","108,646.00","94,648.41","81,809.36","62,989.48",  ,"26,357.00","24,338.00","19,852.18","19,163.87","13,917.31",FALSE,INE467B01029,nse,2018-01-10,52_week_high
TCS LTD.,537359.67,30.49,37.16,39.20,38.89,36.05,  ,"117,966.00","108,646.00","94,648.41","81,809.36","62,989.48",  ,"26,357.00","24,338.00","19,852.18","19,163.87","13,917.31",FALSE,532540,bse,2018-01-10,52_week_high
TECHM,52985.11,17.11,21.70,21.45,32.99,23.73,  ,"29,140.84","26,494.23","22,621.27","18,831.38","6,873.08",  ,"2,850.87","3,026.61","2,627.67","3,028.81","1,287.81",FALSE,INE669C01036,nse,2018-01-10,52_week_high
TECH MAH,52985.11,17.11,21.70,21.45,32.99,23.73,  ,"29,140.84","26,494.23","22,621.27","18,831.38","6,873.08",  ,"2,850.87","3,026.61","2,627.67","3,028.81","1,287.81",FALSE,532755,bse,2018-01-10,52_week_high
THEMIS MEDIC,567.19,16.39,24.49,8.49,4.17,-9.02,  ,243.39,230.32,199.73,189.45,168.25,  ,19.49,19.32,5.01,2.35,-4.77,FALSE,530199,bse,2018-01-10,vol200p_month
TIDE WATE(PS,2629.68,18.02,16.90,31.74,17.03,17.82,  ,"1,129.78","1,055.16","1,034.95",970.94,894.54,  ,115.28,90.41,158.55,64.80,62.90,FALSE,590005,bse,2018-01-10,vol200p_month
TIMKEN,6248.52,15.73,17.60,18.40,11.70,12.95,  ,"1,056.18","1,047.86",916.44,710.22,677.78,  ,97.20,91.91,80.69,44.75,44.24,TRUE,INE325A01013,nse,2018-01-10,52_week_high
TIMKEN (I),6248.52,15.73,17.60,18.40,11.70,12.95,  ,"1,056.18","1,047.86",916.44,710.22,677.78,  ,97.20,91.91,80.69,44.75,44.24,TRUE,522113,bse,2018-01-10,52_week_high
TINPLATE,3263.01,4.47,12.28,7.40,10.24,3.85,  ,812.26,813.70,892.36,"1,048.99",870.04,  ,27.86,73.38,44.60,62.80,28.23,TRUE,INE422C01014,nse,2018-01-10,52_week_high
TINPLATE,3263.01,4.47,12.28,7.40,10.24,3.85,  ,812.26,813.70,892.36,"1,048.99",870.04,  ,27.86,73.38,44.60,62.80,28.23,TRUE,504966,bse,2018-01-10,52_week_high
TORNTPOWER,14106.1,6.22,11.48,5.48,1.69,6.33,  ,"10,053.56","11,207.87","9,986.98","8,520.94","7,970.06",  ,428.95,900.26,359.69,105.26,386.70,FALSE,INE813H01021,nse,2018-01-10,52_week_high
TORNT POWER,14106.1,6.22,11.48,5.48,1.69,6.33,  ,"10,053.56","11,207.87","9,986.98","8,520.94","7,970.06",  ,428.95,900.26,359.69,105.26,386.70,FALSE,532779,bse,2018-01-10,52_week_high
UTINIFTETF,0,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,TRUE,INF789FB1X41,nse,2018-01-10,52_week_high
UTLINDS,23.96,25.74,6.80,--,--,--,  ,5.87,0.11,0.15,6.84,0.12,  ,0.63,-0.08,-0.13,0.02,0.01,TRUE,500426,bse,2018-01-10,52_week_high
VIKRAM THERM,74.42,13.66,13.17,10.76,21.61,25.90,  ,45.14,38.43,37.21,42.08,36.46,  ,4.92,4.24,3.12,5.71,5.62,TRUE,530477,bse,2018-01-10,vol200p_month
VRLLOG,3951.76,13.02,19.92,25.61,18.65,NA,  ,"1,803.09","1,706.44","1,656.23","1,493.78","1,325.50",  ,70.47,102.31,91.22,57.18,45.70,TRUE,539118,bse,2018-01-10,52_week_high
WABCOINDIA,14209.85,16.85,19.41,13.98,15.55,20.15,  ,"1,959.89","1,739.86","1,271.53","1,045.82",917.36,  ,213.48,204.62,120.66,117.48,130.79,TRUE,INE342J01019,nse,2018-01-10,52_week_high
WELSPUN (I),7686.15,14.91,35.20,37.69,8.26,22.70,  ,"5,770.45","5,387.66","4,722.90","3,992.71","3,264.09",  ,362.37,702.87,539.79,92.07,224.82,FALSE,514162,bse,2018-01-10,vol200p_month
WELSPUNIND,7686.15,14.91,35.20,37.69,8.26,22.70,  ,"5,770.45","5,387.66","4,722.90","3,992.71","3,264.09",  ,362.37,702.87,539.79,92.07,224.82,FALSE,INE192B01031,nse,2018-01-10,vol200p_month
ZODIAC CLOTH,463.6,2.32,-3.13,3.37,8.45,5.78,  ,285.13,335.08,374.46,389.06,342.22,  ,6.14,-8.21,9.02,22.00,14.02,FALSE,521163,bse,2018-01-10,vol200p_month
ZODIAC CLOTH,463.6,2.32,-3.13,3.37,8.45,5.78,  ,285.13,335.08,374.46,389.06,342.22,  ,6.14,-8.21,9.02,22.00,14.02,FALSE,521163,bse,2018-01-10,52_week_high
ZODIACLOTH,463.6,2.32,-3.13,3.37,8.45,5.78,  ,285.13,335.08,374.46,389.06,342.22,  ,6.14,-8.21,9.02,22.00,14.02,FALSE,INE206B01013,nse,2018-01-10,52_week_high
ZYDUSWELL,4266.09,19.19,21.31,26.83,29.62,37.85,  ,430.57,427.64,420.76,402.73,387.09,  ,111.28,101.69,108.95,96.45,97.11,FALSE,INE768C01010,nse,2018-01-10,52_week_high
ZYDUS WELL,4266.09,19.19,21.31,26.83,29.62,37.85,  ,430.57,427.64,420.76,402.73,387.09,  ,111.28,101.69,108.95,96.45,97.11,FALSE,531335,bse,2018-01-10,52_week_high
